composition_id,literature_id,sample_id,soc_pct,gas_component,volume_fraction_pct,measurement_basis,instrument,detector,source_location,source_type,notes,sampling_stage
zeng_2026_25_t2_100_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_25_t2_100_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_25_t2_100_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_25_t2_100_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_25_venting_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_25_venting_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_25_venting_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_25_venting_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_25_thermal_runaway_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_25_thermal_runaway_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_25_thermal_runaway_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_25_thermal_runaway_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_25_reaction_end_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_25_reaction_end_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_25_reaction_end_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_25_reaction_end_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_25soc,25,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_50_t2_100_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_50_t2_100_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_50_t2_100_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_50_t2_100_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_50_venting_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_50_venting_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_50_venting_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_50_venting_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_50_thermal_runaway_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_50_thermal_runaway_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_50_thermal_runaway_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_50_thermal_runaway_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_50_reaction_end_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_50_reaction_end_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_50_reaction_end_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_50_reaction_end_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_50soc,50,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_75_t2_100_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_75_t2_100_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_75_t2_100_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_75_t2_100_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_75_venting_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_75_venting_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_75_venting_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_75_venting_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_75_thermal_runaway_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_75_thermal_runaway_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_75_thermal_runaway_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_75_thermal_runaway_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_75_reaction_end_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_75_reaction_end_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_75_reaction_end_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_75_reaction_end_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_75soc,75,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_100_t2_100_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_100_t2_100_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_100_t2_100_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_100_t2_100_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,T2=100℃
zeng_2026_100_venting_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_100_venting_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_100_venting_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_100_venting_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,喷阀
zeng_2026_100_thermal_runaway_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_100_thermal_runaway_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_100_thermal_runaway_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_100_thermal_runaway_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,热失控
zeng_2026_100_reaction_end_H2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,H2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_100_reaction_end_CO2,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO2,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_100_reaction_end_CO,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,CO,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
zeng_2026_100_reaction_end_hydrocarbons,zeng_2026_lfp_prismatic,zeng_2026_lfp_100soc,100,hydrocarbons,,reported_volume_fraction,GC,,,pending_user_input,表 3 具体数值未在用户请求中提供，保留占位，禁止标为 literature,反应结束
